NUMBER	COMPONENT	MOLE WT	FREEZE	BOILING	CRITICAL	CRITICAL	CRITICAL 	CRITICAL	ACENTRIC	LIQ DEN	REF T FOR	DIPOLE		VAPOR HEAT CAPACITY			   LIQUID VISCOSITY		STD HEAT	STD ENERGY	    ANTOINE VAPOR PRESSURE EQN			VAP PRESS	VAP PRESS		HARLACHER VAPOR PRESSURE EQN			HEAT VAPOR
329	PHENETOLE	122,167 	243,0 	443,0 	647,0 	33,8 	0,0 	0,000 	0,000 	0,979 	277,0 	1,2 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	646,88 	305,91 	0	0	16,1673 	3473,20 	-78,66 	460	385	0,000 	0,00 	0,000 	0,000 	0
330	2,3-XYLENOL	122,167 	348,0 	490,1 	722,8 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-37,58	0	16,2424 	3724,58 	-102,40 	500	420	0,000 	0,00 	0,000 	0,000 	11300
331	2,4-XYLENOL	122,167 	298,0 	484,0 	707,6 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	2,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-38,88	0	16,2456 	3655,26 	-103,80 	500	410	0,000 	0,00 	0,000 	0,000 	11260
332	2,5-XYLENOL	122,167 	348,0 	484,3 	723,0 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	1,5 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-38,58	0	16,2368 	3667,32 	-102,40 	490	410	0,000 	0,00 	0,000 	0,000 	11200
333	2,6-XYLENOL	122,167 	322,0 	474,1 	701,0 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-38,68	0	16,2809 	3749,35 	-85,55 	480	400	0,000 	0,00 	0,000 	0,000 	10600
334	3,4-XYLENOL	122,167 	328,0 	500,0 	729,8 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	1,7 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-37,38	0	16,3004 	3733,53 	-113,90 	520	430	0,000 	0,00 	0,000 	0,000 	11900
335	3,5-XYLENOL	122,167 	337,0 	494,8 	715,6 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	1,8 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-38,57	0	16,4192 	3775,91 	-109,00 	500	410	0,000 	0,00 	0,000 	0,000 	11800
336	N,N-DIMETHYLANILINE	121,183 	275,6 	466,7 	687,0 	35,8 	0,0 	0,000 	0,000 	0,956 	293,0 	1,6 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	553,02 	320,03 	20,1	55,26	16,9647 	4276,08 	-52,80 	480	345	0,000 	0,00 	0,000 	0,000 	0
337	1,1-DIMETHYLCYCLOHEXANE	112,216 	239,7 	392,7 	591,0 	29,3 	416,0 	0,250 	0,238 	0,785 	289,0 	0,0 	-17,1220 	2,149E-01 	-1,199E-04 	2,461E-08 	0,00 	0,00 	-43,26	8,42	16,9647 	4276,08 	-52,80 	480	345	0,000 	0,00 	0,000 	0,000 	0
338	CIS-1,2-DIMETHYLCYCLOHEXANE	112,216 	223,1 	402,9 	606,0 	29,3 	0,0 	0,000 	0,236 	0,796 	293,0 	0,0 	-17,2220 	2,149E-01 	-1,199E-04 	2,461E-08 	0,00 	0,00 	-43,26	8,42	15,6535 	3043,34 	-55,30 	420	283	52,143 	-6026,09 	-5,055 	6,200 	7790
339	TRANS-1,2-DIMETHYLCYCLOHEXANE	112,216 	185,0 	396,6 	596,0 	29,3 	0,0 	0,000 	0,242 	0,776 	293,0 	0,0 	-16,3560 	2,179E-01 	-1,279E-04 	2,821E-08 	0,00 	0,00 	-43,02	8,24	15,7337 	3117,43 	-54,02 	424	286	53,523 	-6162,66 	-5,245 	6,380 	7860
340	CIS-1,3-DIMETHYLCYCLOHEXANE	112,216 	197,6 	393,3 	591,0 	29,3 	0,0 	0,000 	0,224 	0,766 	293,0 	0,0 	-15,5640 	2,111E-01 	-1,178E-04 	2,436E-08 	0,00 	0,00 	-44,16	7,13	15,7470 	3081,95 	-55,08 	420	284	0,000 	0,00 	0,000 	0,000 	7840
341	TRANS-1,3-DIMETHYLCYCLOHEXANE	112,216 	183,0 	397,6 	598,0 	29,3 	0,0 	0,000 	0,189 	0,785 	293,0 	0,0 	-15,3230 	2,108E-01 	-1,198E-04 	2,552E-08 	0,00 	0,00 	-42,2	8,68	15,7371 	3093,95 	-57,76 	425	288	56,097 	-6271,67 	-5,615 	6,290 	8090
342	CIS-1,4-DIMETHYLCYCLOHEXANE	112,216 	185,7 	397,5 	598,0 	29,3 	0,0 	0,000 	0,234 	0,783 	293,0 	0,0 	-15,3230 	2,108E-01 	-1,198E-04 	2,552E-08 	0,00 	0,00 	-42,22	9,07	15,7333 	3098,39 	-57,00 	425	287	53,571 	-6219,26 	-5,233 	6,290 	8070
343	TRANS-1,4-DIMETHYLCYCLOHEXANE	112,216 	236,2 	392,5 	590,0 	29,3 	0,0 	0,000 	0,242 	0,763 	293,0 	0,0 	-16,8060 	2,181E-01 	-1,268E-04 	2,758E-08 	0,00 	0,00 	-44,12	7,58	15,6984 	3063,44 	-54,57 	420	283	52,909 	-6071,72 	-5,163 	6,200 	7790
344	ETHYLCYCLOHEXANE	112,216 	161,8 	404,9 	609,0 	29,9 	450,0 	0,270 	0,243 	0,788 	293,0 	0,0 	-15,2600 	2,124E-01 	-1,220E-04 	2,634E-08 	506,43 	280,76 	-41,05	9,38	15,8125 	3183,25 	-58,15 	433	293	0,000 	0,00 	0,000 	0,000 	8200
345	1,1,2-TRIMETHYLCLOPENTANE	112,216 	0,0 	386,9 	579,5 	29,0 	0,0 	0,000 	0,252 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,7084 	3015,51 	-54,59 	414	279	0,000 	0,00 	0,000 	0,000 	7790
346	1,1,3-TRIMETHYLCLOPENTANE	112,216 	0,0 	378,0 	569,5 	27,9 	0,0 	0,000 	0,211 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,6794 	2938,09 	-53,25 	404	273	0,000 	0,00 	0,000 	0,000 	7570
347	C,C,T-1,2,4-TRIMETHYLCYCLOPENTANE	112,216 	0,0 	391,0 	579,0 	284,0 	0,0 	0,000 	0,277 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,7543 	3073,95 	54,20 	418	283	0,000 	0,00 	0,000 	0,000 	7900
348	C,T,C-1,2,4-TRIMETHYLCYCLOPENTANE	112,216 	0,0 	382,4 	571,0 	27,7 	0,0 	0,000 	0,246 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,7756 	3009,70 	53,23 	417	282	0,000 	0,00 	0,000 	0,000 	7900
349	1-METHYL-1-ETHYLCYCLOPENTANE	112,216 	0,0 	394,7 	592,0 	29,5 	0,0 	0,000 	0,250 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8222 	3120,66 	-55,06 	422	286	0,000 	0,00 	0,000 	0,000 	8040
350	N-PROPYLCYCLOPENTANE	112,216 	155,8 	404,1 	603,0 	29,6 	425,0 	0,250 	0,335 	0,781 	289,0 	0,0 	-13,3690 	2,018E-01 	-1,176E-04 	2,669E-08 	454,23 	264,22 	-35,39	12,57	15,8969 	3187,67 	-59,99 	431	294	0,000 	0,00 	0,000 	0,000 	8152
351	ISOPROPYLCYCLOPENTANE	112,216 	160,5 	399,6 	601,0 	29,0 	0,0 	0,000 	0,240 	0,776 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8561 	3176,22 	-55,18 	427	289	0,000 	0,00 	0,000 	0,000 	8150
352	1-OCTENE	112,216 	171,4 	394,4 	566,6 	25,9 	464,0 	0,260 	0,386 	0,715 	293,0 	0,3 	-0,9790 	1,729E-01 	-9,641E-05 	2,072E-08 	418,82 	237,63 	-19,82	24,91	15,9630 	3116,52 	-60,39 	420	288	64,487 	6883,34 	-6,765 	6,980 	8070
353	TRANS-2-OCTENE	112,216 	185,4 	398,1 	580,0 	27,3 	0,0 	0,000 	0,350 	0,720 	293,0 	0,0 	-3,0620 	1,799E-01 	-1,061E-04 	2,509E-08 	427,64 	240,32 	-22,59	22,15	15,8554 	3134,97 	-58,00 	425	289	0,000 	0,00 	0,000 	0,000 	8200
354	N-OCTANE	114,232 	216,4 	398,8 	568,8 	24,5 	492,0 	0,259 	0,394 	0,703 	293,0 	0,0 	-1,4560 	1,842E-01 	-1,002E-04 	2,115E-08 	473,70 	251,71 	-49,82	3,92	15,9426 	3120,29 	-63,63 	425	292	66,639 	-7100,69 	-7,053 	7,310 	8225
355	2-METHYLHEPTANE	114,232 	164,0 	390,8 	559,6 	24,5 	488,0 	0,260 	0,378 	0,702 	289,0 	0,0 	-21,4350 	2,967E-01 	-2,808E-04 	1,103E-07 	643,61 	259,51 	-51,5	3,05	15,9278 	3079,63 	-59,46 	417	285	65,685 	-6865,40 	-6,957 	7,120 	8080
356	3-METHYLHEPTANE	114,232 	152,7 	392,1 	563,6 	25,1 	464,0 	0,252 	0,369 	0,706 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-50,82	3,28	15,8865 	3065,96 	-60,74 	418	286	64,371 	-6817,44 	-6,763 	7,020 	8100
357	4-METHYLHEPTANE	114,232 	152,2 	390,9 	561,7 	25,1 	476,0 	0,259 	0,369 	0,705 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-50,619	4	15,8893 	3057,05 	-60,59 	417	285	64,394 	-6799,54 	-6,769 	6,980 	8100
358	2,2-DIMETHYLHEXANE	114,232 	152,0 	382,0 	549,8 	25,0 	478,0 	0,264 	0,338 	0,695 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-53,71	2,56	15,7431 	2932,56 	-58,08 	405	276	61,971 	-6425,90 	-6,475 	6,720 	7710
359	2,3-DIMETHYLHEXANE	114,232 	0,0 	388,8 	563,4 	25,9 	468,0 	0,262 	0,346 	0,712 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-51,13	4,23	15,8189 	3029,06 	-58,99 	415	283	61,855 	-6587,23 	-6,425 	6,790 	7936
360	2,4-DIMETHYLHEXANE	114,232 	0,0 	382,6 	553,5 	25,2 	472,0 	0,262 	0,343 	0,700 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-52,44	2,8	15,7797 	2965,44 	-58,36 	408	278	62,103 	-6487,48 	-6,482 	6,740 	7790
361	2,5-DIMETHYLHEXANE	114,232 	181,9 	382,3 	550,0 	24,5 	42,0 	0,262 	0,352 	0,693 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-53,21	2,5	15,7954 	2964,06 	-58,74 	408	278	62,872 	-6532,90 	-6,590 	6,840 	7800
362	3,3-DIMETHYLHEXANE	114,232 	147,0 	385,1 	562,0 	26,2 	443,0 	0,252 	0,321 	0,710 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	446,20 	244,67 	-52,61	3,17	15,7755 	3011,51 	-55,71 	411	279	59,518 	-6352,78 	-6,118 	6,690 	7760
363	3,4 DIMETHYLHEXANE	114,232 	0,0 	390,9 	568,8 	26,6 	466,0 	0,265 	0,338 	0,719 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	50,91	4,14	15,8415 	3062,52 	-58,29 	417	284	61,319 	-6588,72 	-6,344 	6,760 	7953
364	3-ETHYLHEXANE	114,232 	0,0 	391,7 	565,4 	25,7 	455,0 	0,252 	0,361 	0,718 	289,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	437,60 	238,33 	-50,4	3,95	15,8671 	3057,57 	-60,55 	418	286	0,000 	0,00 	0,000 	0,000 	8033
365	2,2,3 TRIMETHYLPETANE	114,232 	160,9 	383,0 	563,4 	26,9 	436,0 	0,254 	0,297 	0,716 	293,0 	0,0 	2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	474,57 	257,61 	-52,61	4,09	15,7162 	2981,56 	-54,73 	409	277	58,179 	-6218,74 	-5,942 	6,540 	7650
366	2,2,4 TRIMETHYLPENTANE	114,232 	165,8 	372,4 	543,9 	25,3 	468,0 	0,266 	0,303 	0,692 	293,0 	0,0 	-1,7820 	1,858E-01 	-1,024E-04 	2,191E-08 	467,04 	246,43 	-5357	3,27	15,6850 	2896,28 	-52,41 	398	269	58,265 	-6039,34 	-5,988 	6,480 	7411
367	2,3,3 TRIMETHYLPENTANE	114,232 	172,5 	387,9 	573,5 	27,8 	455,0 	0,269 	0,290 	0,726 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-51,73	4,52	15,7578 	3057,94 	-52,77 	415	280	56,436 	-6186,92 	-5,685 	6,560 	7730
368	2,3,4 TRIMETHYLPENTANE	114,232 	163,9 	386,6 	56,3 	26,9 	461,0 	0,267 	0,317 	0,719 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-51,97	4,52	15,7818 	3028,09 	55,62 	413	280	58,957 	-6346,90 	-6,033 	6,610 	7823
369	2-METHYL-3-ETHYLPENTANE	114,232 	158,2 	388,8 	567,0 	26,7 	443,0 	0,254 	0,330 	0,719 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,051E-04 	2,316E-08 	0,00 	0,00 	-50,48	5,08	15,8040 	3035,08 	-57,84 	415	282	0,000 	0,00 	0,000 	0,000 	7879
370	3-METHYL-3-ETHYLPENTANE	114,232 	182,3 	391,4 	576,6 	27,7 	455,0 	0,267 	0,304 	0,727 	293,0 	0,0 	-2,2010 	1,877E-01 	-1,501E-04 	2,316E-08 	0,00 	0,00 	-51,38	4,76	15,8126 	3102,06 	53,47 	418	283	0,000 	0,00 	0,000 	0,000 	7838
371	1-OCTANOL	130,231 	257,7 	468,4 	58,0 	34,0 	490,0 	0,310 	0,530 	0,826 	293,0 	2,0 	1,4740 	1,817E-01 	-9,069E-05 	1,496E-08 	1312,10 	369,97 	-86	-28,7	15,7428 	3017,81 	-137,10 	468	343	0,000 	0,00 	0,000 	0,000 	12100
372	2-OCTANOL	130,231 	241,2 	452,9 	637,0 	27,0 	494,0 	0,260 	0,520 	0,821 	293,0 	1,6 	6,1810 	1,825E-01 	-1,009E-04 	2,165E-08 	0,00 	0,00 	0	0	14,7108 	2441,66 	-150,70 	453	345	0,000 	0,00 	0,000 	0,000 	10600
373	2-ETHYLHEXANOL	130,231 	203,2 	457,8 	613,0 	27,2 	494,0 	0,267 	0,000 	0,833 	293,0 	1,8 	-3,5810 	2,067E-01 	-1,261E-04 	3,068E-08 	1798,00 	351,17 	-87,31	0	15,3614 	2773,46 	-140,00 	458	348	0,000 	0,00 	0,000 	0,000 	11300
374	BUTYL ETHER	130,231 	175,3 	415,6 	580,0 	25,0 	500,0 	0,260 	0,500 	0,768 	293,0 	1,2 	1,4460 	1,846E-01 	-9,758E-05 	1,931E-08 	473,50 	266,56 	-79,8	-21,16	16,0778 	3296,15 	-66,15 	455	305	0,000 	0,00 	0,000 	0,000 	8900
375	DIBUTYLAMINE	129,247 	211,0 	432,8 	596,0 	25,0 	517,0 	0,260 	0,590 	0,767 	293,0 	1,1 	2,3320 	1,930E-01 	-1,049E-04 	2,209E-08 	581,42 	286,54 	0	0	16,7307 	3721,90 	-64,15 	459	322	0,000 	0,00 	0,000 	0,000 	9500
376	ALPHA-METHYL STYRENE	118,179 	0,0 	438,5 	654,0 	33,6 	397,0 	0,250 	0,000 	0,911 	293,0 	0,0 	-5,8110 	1,656E-01 	-1,082E-04 	2,802E-08 	354,34 	270,80 	0	0	16,3308 	3644,30 	-67,15 	493	348	0,000 	0,00 	0,000 	0,000 	9150
377	ETHYL BENZOATE	150,178 	238,3 	485,9 	697,0 	32,0 	451,0 	0,250 	0,480 	1,046 	293,0 	1,9 	4,9370 	1,645E-01 	-8,618E-05 	1,209E-08 	746,50 	338,47 	0	0	16,2065 	3845,09 	-84,15 	531	361	0,000 	0,00 	0,000 	0,000 	10700
378	N-PROPYLBENZENE	120,195 	173,7 	432,4 	638,3 	31,6 	440,0 	0,265 	0,344 	0,862 	293,0 	0,4 	-7,4730 	1,788E-01 	-1,099E-04 	2,582E-08 	527,45 	282,65 	1,87	32,8	16,0062 	3433,84 	-66,01 	461	316	0,000 	0,00 	0,000 	0,000 	9140
379	ISOPROPYLBENZENE	120,195 	177,1 	425,6 	631,0 	31,7 	428,0 	0,260 	0,335 	0,862 	293,0 	0,4 	-9,0420 	1,873E-01 	-1,215E-04 	3,084E-08 	517,17 	276,22 	0,94	32,74	15,9722 	3363,60 	-63,37 	454	311	46,941 	-6285,25 	-4,227 	6,860 	8970
380	1-METHYL-2-ETHYLBENZENE	120,195 	192,3 	438,3 	651,0 	30,0 	460,0 	0,260 	0,294 	0,881 	293,0 	0,0 	-3,9280 	1,671E-01 	-9,841E-05 	2,228E-08 	0,00 	0,00 	0,29	31,33	16,1253 	3535,33 	-65,85 	467	321	64,337 	-7662,94 	-6,617 	7,180 	9290
381	1-METHYL-3-ETHYLBENZENE	120,195 	177,6 	434,5 	637,0 	28,0 	490,0 	0,260 	0,360 	0,865 	293,0 	0,0 	-6,9260 	1,742E-01 	-1,042E-04 	2,388E+00 	8,00 	0,00 	0	-0,46	30,2200 	16,15 	3521,08 	-64,64	463	318,000 	65,67 	-7678,110 	-6,815 	7,2
382	1-METHYL-4-ETHYLBENZENE	120,195 	210,8 	435,2 	640,0 	29,0 	470,0 	0,260 	0,322 	0,861 	293,0 	0,0 	-6,5230 	1,714E-01 	-1,009E-04 	2,279E-08 	463,17 	266,08 	-0,49	30,28	16,1135 	3516,31 	-64,23 	463	318	61,404 	-7422,59 	-6,212 	7,230 	9180
383	1,2,3-TRIMETHYLBENZENE	120,195 	247,7 	449,2 	664,5 	34,1 	430,0 	0,270 	0,390 	0,894 	293,0 	0,6 	-1,6580 	1,513E-01 	-7,945E-05 	1,579E-08 	0,00 	0,00 	-2,29	29,77	16,2121 	3670,22 	-66,07 	479	329	0,000 	0,00 	0,000 	0,000 	9570
384	1,2,4-TRIMETHYLBENZENE	120,195 	227,0 	442,5 	649,1 	31,9 	430,0 	0,258 	0,390 	0,880 	289,0 	0,3 	-1,1150 	1,490E-01 	-7,793E-05 	1,523E-08 	872,74 	297,75 	-3,33	27,95	16,2190 	3622,58 	-64,59 	471	324	56,241 	-7256,56 	-5,459 	7,270 	9380
385	1,3,5-TRIMETHYLBENZENE	120,195 	228,4 	437,9 	637,3 	30,9 	433,0 	0,260 	0,398 	0,865 	293,0 	0,1 	-4,6790 	1,606E-01 	-8,819E-05 	1,839E-08 	437,52 	268,27 	3,84	28,19	16,2893 	3614,19 	-63,57 	466	321	58,041 	-7326,78 	-5,706 	7,220 	9330
386	N-PROPYLCYCLOHEXANE	126,243 	178,7 	429,9 	639,0 	27,7 	0,0 	0,000 	0,258 	0,793 	293,0 	0,0 	-14,9320 	2,362E-01 	-1,384E-04 	3,084E-08 	549,08 	293,93 	-46,2	11,31	15,8567 	3363,62 	-65,21 	459	313	0,000 	0,00 	0,000 	0,000 	8620
387	ISOPROPYLCYCLOHEXANE	126,243 	183,4 	427,7 	640,0 	28,0 	0,0 	0,000 	0,237 	0,802 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8260 	3346,12 	-63,71 	440	330	0,000 	0,00 	0,000 	0,000 	0
388	1-NONENE	126,243 	191,8 	420,0 	592,0 	23,1 	580,0 	0,280 	0,430 	0,745 	273,0 	0,0 	0,8880 	1,940E-01 	-1,077E-04 	2,318E-08 	471,00 	258,92 	-24,74	26,93	16,0118 	3305,03 	-67,61 	448	308	69,085 	-7626,91 	-7,339 	8,380 	8680
389	N-NONANE	128,259 	219,7 	424,0 	594,6 	22,8 	548,0 	0,260 	0,444 	0,718 	293,0 	0,0 	0,7510 	1,618E-01 	-4,606E-05 	-7,121E-09 	525,56 	272,12 	-54,74	5,93	15,9671 	3291,45 	-71,33 	452	312	73,133 	-7969,42 	7,890 	8,690 	8823
390	2,2,3-TRIMETHYLHEXANE	128,259 	0,0 	406,8 	588,0 	24,6 	0,0 	0,000 	0,332 	0,000 	0,0 	0,0 	-10,8990 	2,521E-01 	-1,713E-04 	4,745E-08 	0,00 	0,00 	-57,65	5,86	15,8017 	3164,17 	-61,66 	436	297	0,000 	0,00 	0,000 	0,000 	8310
391	2,2,4-TRIMETHYLHEXANE	128,259 	153,0 	399,7 	573,7 	23,4 	0,0 	0,000 	0,321 	0,720 	289,0 	0,0 	-14,4050 	2,638E-01 	-1,842E-04 	5,225E-08 	0,00 	0,00 	-58,13	5,38	15,7639 	3084,08 	-61,94 	428	291	0,000 	0,00 	0,000 	0,000 	8130
392	2,2,5-TRIMETHYLHEXANE	128,259 	167,4 	397,3 	568,0 	23,0 	519,0 	0,260 	0,357 	0,717 	289,0 	0,0 	-12,9230 	2,615E-01 	-1,850E-04 	5,385E-08 	0,00 	0,00 	-60,71	3,21	15,7445 	3052,17 	-62,24 	420	315	0,000 	0,00 	0,000 	0,000 	8070
393	3,3-DIETHYLPENTANE	128,259 	0,0 	419,3 	610,0 	26,4 	0,0 	0,000 	0,338 	0,752 	293,0 	0,0 	-16,0670 	2,690E-01 	-1,908E-04 	5,508E-08 	0,00 	0,00 	-55,44	8,38	15,8709 	3341,62 	-57,57 	440	350	0,000 	0,00 	0,000 	0,000 	8600
394	2,2,3,3-TETRAMETHYLPENTANE	128,259 	0,0 	413,4 	607,6 	27,0 	0,0 	0,000 	0,279 	0,000 	0,0 	0,0 	-13,0370 	2,601E-01 	-1,808E-04 	5,116E-08 	0,00 	0,00 	-56,7	8,2	15,7280 	3220,55 	-59,31 	440	328	64,104 	-7011,38 	-6,731 	8,460 	8430
395	2,2,3,4-TETRAMETHYLPENTANE	128,259 	0,0 	406,2 	592,7 	25,7 	0,0 	0,000 	0,311 	0,000 	0,0 	0,0 	-13,0370 	2,601E-01 	-1,808E-04 	5,166E-08 	0,00 	0,00 	-56,64	7,8	15,7363 	3167,42 	-58,21 	430	318	0,000 	0,00 	0,000 	0,000 	8190
396	2,2,4,4-TETRAMETHYLPENTANE	128,259 	206,0 	395,4 	574,7 	24,5 	0,0 	0,000 	0,315 	0,719 	293,0 	0,0 	-16,0990 	2,790E-01 	-2,057E-04 	6,147E-08 	0,00 	0,00 	-57,83	8,13	15,6488 	3049,98 	-57,13 	413	313	0,000 	0,00 	0,000 	0,000 	7850
397	2,3,3,4-TETRAMETHYLPENTANE	128,259 	0,0 	414,7 	607,6 	26,8 	0,0 	0,000 	0,299 	0,000 	0,0 	0,0 	-13,1170 	2,606E-01 	-1,816E-04 	5,154E-08 	0,00 	0,00 	-56,46	8,15	15,8029 	3269,07 	-58,19 	425	325	0,000 	0,00 	0,000 	0,000 	8350
398	NAPHTHALENE	128,174 	353,5 	491,1 	748,4 	40,0 	410,0 	0,267 	0,302 	0,971 	363,0 	0,0 	-16,4330 	2,030E-01 	-1,554E-04 	4,731E-08 	873,32 	352,57 	36,08	53,44	16,1426 	3992,01 	-71,29 	525	360	0,000 	0,00 	0,000 	0,000 	10340
399	1,2,3,4-TETRAHYDRONAPHTHALENE	132,206 	242,0 	480,7 	719,0 	34,7 	0,0 	0,000 	0,303 	0,973 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	6,6	39,9	16,2805 	4009,49 	-64,89 	500	365	0,000 	0,00 	0,000 	0,000 	9490
400	N-BUTYLBENZENE	134,222 	185,2 	456,4 	660,5 	28,5 	497,0 	0,261 	0,392 	0,860 	293,0 	0,4 	-5,4910 	1,895E-01 	-1,050E-04 	2,047E-08 	563,84 	296,01 	-3,3	34,58	16,0793 	3633,40 	-71,77 	486	335	0,000 	0,00 	0,000 	0,000 	9380
401	ISOBUTYLBENZENE	134,222 	221,7 	445,9 	650,0 	31,0 	480,0 	0,280 	0,378 	0,853 	293,0 	0,3 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	-5,15	0	15,9524 	3512,47 	-69,03 	476	326	0,000 	0,00 	0,000 	0,000 	9040
402	SEC-BUTYLBENZENE	134,222 	197,7 	446,5 	664,0 	29,1 	0,0 	0,000 	0,274 	0,862 	293,0 	0,4 	-15,5600 	2,363E-01 	-1,723E-04 	5,140E-08 	582,66 	295,82 	-4,17	0	15,9999 	3544,19 	-68,10 	476	325	0,000 	0,00 	0,000 	0,000 	9070
403	TERT-BUTYLBENZENE	134,222 	215,3 	442,3 	660,0 	29,3 	0,0 	0,000 	0,265 	0,867 	293,0 	0,5 	-20,5410 	2,632E-01 	-2,089E-04 	6,751E-08 	0,00 	0,00 	-5,42	0	15,9300 	3462,28 	-69,87 	472	323	0,000 	0,00 	0,000 	0,000 	8990
404	1-METHYL-2-ISOPROPYLBENZENE	134,222 	0,0 	451,5 	670,0 	28,6 	0,0 	0,000 	0,277 	0,876 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,9809 	3564,52 	-70,00 	481	330	0,000 	0,00 	0,000 	0,000 	0
405	1-METHYL-2-ISOPROPYLBENZENE	134,222 	0,0 	448,3 	666,0 	29,0 	0,0 	0,000 	0,279 	0,861 	293,0 	0,0 	-11,6460 	2,165E-01 	-1,446E-04 	3,887E-08 	0,00 	0,00 	-7	0	15,9811 	3543,79 	-69,22 	478	328	67,726 	-8033,58 	-7,076 	8,390 	9110
406	1-METHYL-4-ISOPROPYLBENZENE	134,222 	200,0 	450,3 	653,0 	27,9 	0,0 	0,000 	0,371 	0,857 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,9424 	3539,21 	-70,10 	480	329	63,225 	-7800,97 	-6,432 	8,410 	0
407	1,4-DIETHYLBENZENE	134,222 	231,0 	456,9 	657,9 	27,7 	480,0 	0,250 	0,403 	0,862 	293,0 	0,1 	-8,9370 	2,071E-01 	-1,328E-04 	3,370E-08 	0,00 	0,00 	-5,32	32,95	16,1140 	3657,22 	-71,18 	487	335	0,000 	0,00 	0,000 	0,000 	9410
408	1,2,4,5-TETRAMETHYLBEENZENE	134,222 	352,0 	470,0 	675,0 	29,0 	480,0 	0,250 	0,426 	0,838 	354,0 	0,0 	3,9460 	1,557E-01 	-6,876E-05 	7,779E-09 	0,00 	0,00 	-10,82	28,55	16,3023 	3850,91 	-71,72 	500	361	64,139 	-8300,92 	-6,478 	8,800 	10880
409	N-BUTYLANILINE	149,236 	259,0 	513,9 	721,0 	28,0 	518,0 	0,250 	0,000 	0,932 	293,0 	0,0 	-8,1370 	2,184E-01 	-1,328E-04 	3,075E-08 	1111,10 	341,28 	0	0	16,3994 	4079,72 	-96,15 	560	385	0,000 	0,00 	0,000 	0,000 	11690
